id,name,rank,status,parent_tsn
166708,Sebastes auriculatus,Species,valid,166705
169006,Lobotes,Genus,valid,169005
622127,Sargocentron suborbitalis,Species,valid,166257
170288,Brama,Genus,valid,170287
162682,Benthosema suborbitale,Species,valid,162679
162836,Chanidae,Family,valid,553171
164806,Ophidioidei,Suborder,valid,553139
169055,Haemulidae,Family,valid,167641
622315,Sternoptychinae,Subfamily,valid,162212
172728,Etropus,Genus,valid,553179
644734,Synodus lacertinus,Species,valid,162375
171945,Oxyurichthys,Genus,valid,171746
164496,Lophioidei,Suborder,valid,164495
167641,Percoidei,Suborder,valid,167640
162378,Synodus lucioceps,Species,valid,162375
914158,Ecdysozoa,Superphylum,valid,914155
168707,Trachinotus,Genus,valid,1228111
649743,Caulophryne pelagica,Species,valid,164660
82469,Chtenopteryx sicula,Species,valid,555777
162706,Lampadena luminosa,Species,valid,162702
167227,Clinocottus analis,Species,valid,167222
172996,Aseraggodes,Genus,valid,172980
167839,Pronotogrammus,Genus,valid,167675
161458,Ophichthus,Genus,valid,635313
164629,Oneirodes,Genus,valid,164625
166765,Sebastes umbrosus,Species,valid,166705
555777,Chtenopteryx,Genus,valid,555714
205734,Galiteuthis,Genus,valid,555741
168537,Malacanthidae,Family,valid,167641
166827,Scorpaena guttata,Species,valid,166811
556426,Galiteuthis pacifica,Species,valid,205734
168691,Seriola rivoliana,Species,valid,168688
171018,Crystallodytes,Genus,valid,171022
635300,Albulinae,Subfamily,valid,161119
637470,Gunnellichthys curiosus,Species,valid,172166
172984,Achirus,Genus,valid,202070
172388,Aphanopus,Genus,valid,646729
162257,Melanostomias,Genus,valid,622318
169273,Menticirrhus,Genus,valid,169237
170477,Labridae,Family,valid,170476
555773,Ancistrocheirus,Genus,valid,555713
162374,Synodontidae,Family,valid,644665
69458,Mollusca,Phylum,valid,1204567
171158,Hypsoblennius gentilis,Species,valid,171155
162692,Hygophum,Genus,valid,623694
161600,Derichthys,Genus,valid,161599
95525,Euphausia lamelligera,Species,valid,95501
161828,Engraulis mordax,Species,valid,161827
162838,Chanos chanos,Species,valid,162837
649728,Triphoturus oculeum,Species,invalid,0
168713,Trachinotus kennedyi,Species,valid,168707
82678,Ocythoe tuberculata,Species,valid,82677
164642,Gigantactinidae,Family,valid,622712
170424,Sphyraenidae,Family,valid,167641
172369,Nesiarchus,Genus,valid,172354
165473,Hyporhamphus,Genus,valid,645104
162815,Eutaeniophorus festivus,Species,valid,162814
553164,Anoplopomatoidei,Suborder,valid,166702
623827,Lampanyctus acanthurus,Species,valid,162632
95594,Thysanopoda cristata,Species,valid,95582
167460,Odontopyxis trispinosa,Species,valid,167459
172866,Embassichthys bathybius,Species,valid,172865
167427,Agonopsis,Genus,valid,167426
172716,Citharichthys sordidus,Species,valid,172715
166409,Aulostomidae,Family,valid,166438
161700,Clupeidae,Family,valid,161699
95495,Eucarida,Superorder,valid,89801
